         x          y        obs      image
       390        223          1        329
       351        209          1        330
        86        215          1        331
       378        109          1        332
       298        301          1        333
       122        245          1        334
        71        168          1        335
       353        323          1        336
        76        168          1        337
       143        309          1        338
       170        150          1        339
       220        154          1        340
       292         80          1        341
       285        126          1        342
       361        193          1        343
       267        193          1        344
       195        249          1        345
       280        120          1        346
        64        178          1        347
       335         95          1        348
       149        246          1        349
       210        297          1        350
       122         81          1        351
        41        323          1        352
       188        307          1        353
       296        280          1        354
       305        203          1        355
       178        304          1        356
       161        155          1        357
       267        218          1        358
       102        184          1        359
       321        236          1        360
       244        332          1        361
       183        216          1        362
       288        148          1        363
       111        231          1        364
       328         41          1        365
        85        173          1        366
       286        232          1        367
        70         64          1        368
       154        263          1        369
       182        369          1        370
       286        238          1        371
       238        230          1        372
        26        113          1        373
       249        203          1        374
       162        292          1        375
       110         79          1        376
       132        257          1        377
        85        155          1        378
        87        234          1        379
       304        153          1        380
       301        245          1        381
       216        243          1        382
       107        291          1        383
       251        334          1        384
       189        186          1        385
       272        155          1        386
       270        215          1        387
        76        197          1        388
       339        203          1        389
        54        292          1        390
       335        231          1        391
        63        267          1        392
       153        215          1        393
       195        270          1        394
       374        146          1        395
       292        178          1        396
       154        176          1        397
       196        313          1        398
       147        177          1        399
       230        105          1        400
       108        296          1        401
       121        172          1        402
        95        132          1        403
       285        224          1        404
       255        142          1        405
       175         49          1        406
       269        309          1        407
       162        248          1        408
       315        211          1        409
       164        186          1        410
        75        261          1        411
        93        195          1        412
       174        251          1        413
       355        319          1        414
       174        303          1        415
       250        336          1        416
       251        172          1        417
       318        146          1        418
       130        253          1        419
       305        235          1        420
       162        201          1        421
       234        205          1        422
       173        229          1        423
       152        301          1        424
       108        276          1        425
       199        257          1        426
       304        168          1        427
       101        119          1        428
       279        193          1        429
       288        235          1        430
       118        205          1        431
       133        177          1        432
       137        223          1        433
        84        179          1        434
       105        377          1        435
       206        302          1        436
       231         76          1        437
       255        209          1        438
        95        172          1        439
       118        279          1        440
       143        236          1        441
       224        214          1        442
       172        240          1        443
       202        272          1        444
       157        135          1        445
        61        232          1        446
       197        230          1        447
       144        360          1        448
       326        211          1        449
       174        203          1        450
       328         79          1        451
       201        213          1        452
       185        185          1        453
       116        295          1        454
        89        301          1        455
       199        267          1        456
       111        264          1        457
       218        311          1        458
       204        227          1        459
        87        173          1        460
       168        267          1        461
       180        140          1        462
       311        138          1        463
       166        290          1        464
        93        117          1        465
       168        307          1        466
       120        178          1        467
        34         41          1        468
       153        166          1        469
       191        153          1        470
       119        236          1        471
       170        302          1        472
        38        240          1        473
       101        232          1        474
       242        293          1        475
       252        239          1        476
       282        294          1        477
       108        166          1        478
       253        299          1        479
       205        267          1        480
        97        259          1        481
       164        250          1        482
       251        232          1        483
       203        185          1        484
       140        259          1        485
       179        297          1        486
       155        162          1        487
       177        161          1        488
       159        243          1        489
       112        220          1        490
        71        184          1        491
       159        212          1        492
       214        240          1        493
        86        297          1        494
       211        218          1        495
       165        244          1        496
       112        268          1        497
       258        281          1        498
       219        179          1        499
       195        230          1        500
       154        269          1        501
       120        237          1        502
       116        254          1        503
       128        199          1        504
       212        222          1        505
       331        184          1        506
        99        249          1        507
       156        157          1        508
       280        268          1        509
       155        205          1        510
       278        192          1        511
       204        209          1        512
        81        196          1        513
       275        199          1        514
       352         48          1        515
        99        249          1        516
       139        269          1        517
       328        188          1        518
       219        233          1        519
       235        272          1        520
        72        168          1        521
       339         85          1        522
       313        170          1        523
       188        119          1        524
       211        200          1        525
       330        188          1        526
       100        201          1        527
       159        176          1        528
       150        203          1        529
        79        254          1        530
       269        243          1        531
       110        180          1        532
       127        193          1        533
        60        151          1        534
       218        187          1        535
       312        253          1        536
       287        230          1        537
        53        173          1        538
       110        162          1        539
       308        141          1        540
       252        296          1        541
        92        209          1        542
       290        159          1        543
        45        183          1        544
       278        209          1        545
       326        135          1        546
       311        261          1        547
       204        179          1        548
       262        187          1        549
       384        207          1        550
       309        264          1        551
        37        188          1        552
       281        261          1        553
       272        161          1        554
       331        294          1        555
       190        141          1        556
       282        208          1        557
       132        240          1        558
       225        124          1        559
       126        219          1        560
       228        193          1        561
        91        163          1        562
        45        222          1        563
       122        136          1        564
       359        205          1        565
        76        195          1        566
        70        170          1        567
       313        199          1        568
       115        243          1        569
       274        151          1        570
       124        210          1        571
       335        152          1        572
       296        299          1        573
       146        123          1        574
       338        285          1        575
       274        222          1        576
        81        171          1        577
       256        171          1        578
       131        236          1        579
       310        238          1        580
        22        203          1        581
       117        245          1        582
       112        305          1        583
       392        242          1        584
        42        215          1        585
        39        245          1        586
        24        189          1        587
        78        195          1        588
        85        313          1        589
       307        367          1        590
       204        232          1        591
       228        332          1        592
       365        286          1        593
        39        196          1        594
       309        328          1        595
       382         50          1        596
       100        213          1        597
       317         94          1        598
       332        238          1        599
       255         72          1        600
       151        149          1        601
       203        215          1        602
        62        254          1        603
       193        249          1        604
       321        153          1        605
       204        320          1        606
       384        180          1        607
       274         35          1        608
       263         97          1        609
       155        321          1        610
        68        176          1        611
        55        228          1        612
       184        220          1        613
       101        150          1        614
       199        309          1        615
       219        197          1        616
       246        154          1        617
       216        230          1        618
        39        178          1        619
       239        107          1        620
       147        157          1        621
       348        111          1        622
        78        281          1        623
       158        135          1        624
       334        215          1        625
        43        184          1        626
       134        233          1        627
       263        192          1        628
       299        289          1        629
       369        180          1        630
       162        243          1        631
       337        230          1        632
       294        312          1        633
       120        215          1        634
       216        128          1        635
       217        201          1        636
        73        143          1        637
       241        224          1        638
       181        182          1        639
       186        247          1        640
        92        301          1        641
       275        195          1        642
       223        335          1        643
       126        355          1        644
       224        207          1        645
       282        259          1        646
       333        252          1        647
       271        180          1        648
       233        199          1        649
       200         77          1        650
        64        108          1        651
       288        182          1        652
       230        123          1        653
        77        214          1        654
       353        236          1        655
       205        133          1        656
       266        230          1        657
       316        182          1        658
       253        125          1        659
       232        118          1        660
        72        220          1        661
       191        190          1        662
        67        203          1        663
       159        167          1        664
        57        182          1        665
       112        152          1        666
       348        164          1        667
       305         88          1        668
       206        189          1        669
       197        192          1        670
       150        136          1        671
       334        240          1        672
       123        248          1        673
       156        326          1        674
         8        263          1        675
       318        201          1        676
       146        207          1        677
       157        224          1        678
        58        310          1        679
       268        202          1        680
       292        296          1        681
       303        327          1        682
       259        232          1        683
       312        128          1        684
       322        191          1        685
       246        149          1        686
       285        294          1        687
       255        177          1        688
       157        228          1        689
       100        333          1        690
       176        172          1        691
       207        267          1        692
       155        190          1        693
       330        170          1        694
       164        151          1        695
       227        139          1        696
       202        103          1        697
       246        118          1        698
       189        280          1        699
       134        212          1        700
       163        332          1        701
        33        118          1        702
       247        255          1        703
       263        189          1        704
        94        172          1        705
       304        218          1        706
       107        258          1        707
       110        206          1        708
        91        124          1        709
        22        207          1        710
       293        176          1        711
       297        211          1        712
       277        201          1        713
        45        120          1        714
       230        121          1        715
       224        221          1        716
       348        174          1        717
       229        246          1        718
       266        146          1        719
       288        206          1        720
       110        154          1        721
       274        189          1        722
       316        256          1        723
       233        301          1        724
        35        274          1        725
       297        229          1        726
       222        215          1        727
       176        286          1        728
       311        317          1        729
       276        228          1        730
       195        211          1        731
       199        209          1        732
       162        157          1        733
       274        244          1        734
       346        157          1        735
        49        354          1        736
       301        284          1        737
       141        209          1        738
       346        317          1        739
       112        155          1        740
       301        292          1        741
        53        160          1        742
       323        124          1        743
        58        304          1        744
       176        342          1        745
       226         68          1        746
        93        172          1        747
       274        172          1        748
       276        205          1        749
       179        270          1        750
       318        276          1        751
       174        191          1        752
        85        213          1        753
       358        264          1        754
       163        255          1        755
       161        226          1        756
       271        282          1        757
       176         84          1        758
       143        176          1        759
        21        126          1        760
       119        165          1        761
       183        186          1        762
       253        164          1        763
       330        340          1        764
        91        113          1        765
       176        159          1        766
       179        220          1        767
        69        251          1        768
       137        227          1        769
       128        276          1        770
       186        249          1        771
       184        268          1        772
       338        183          1        773
       155        171          1        774
       182        207          1        775
       147        275          1        776
        77        253          1        777
       312        303          1        778
        62        186          1        779
       279        359          1        780
       229        290          1        781
       288        215          1        782
       175        271          1        783
       218        190          1        784
        54        199          1        785
       178        189          1        786
       253         79          1        787
       221        332          1        788
       164        337          1        789
       110        353          1        790
        54        211          1        791
        38        138          1        792
       170        270          1        793
       211        215          1        794
       190        251          1        795
       257        270          1        796
       216        195          1        797
       246        244          1        798
       251        263          1        799
       275        188          1        800
       343        206          2          1
       259        247          2          2
       192        374          2          3
       103        396          2          4
       298        290          2          5
       213        242          2          6
       212        283          2          7
       146        245          2          8
       280        324          2          9
       245        226          2         10
       195        317          2         11
       137        373          2         12
        39        280          2         13
        58        238          2         14
       278        245          2         15
       255        182          2         16
        60        199          2         17
       313        189          2         18
        38        320          2         19
       121        254          2         20
       193        245          2         21
       166        191          2         22
       121        324          2         23
       296        236          2         24
        98        301          2         25
       132        300          2         26
        80        384          2         27
       105        292          2         28
       193        297          2         29
       257        344          2         30
       303        225          2         31
       299        284          2         32
       261        162          2         33
       246        197          2         34
       196        241          2         35
       213        128          2         36
       238        277          2         37
       141        116          2         38
       172        189          2         39
       196        182          2         40
       234        178          2         41
       276        161          2         42
       170        274          2         43
        76        228          2         44
       136        251          2         45
       246        269          2         46
       111        219          2         47
        58        210          2         48
       271        224          2         49
       194        122          2         50
       307        258          2         51
       184        306          2         52
       210        207          2         53
        55        162          2         54
       263        251          2         55
       116        253          2         56
       140        245          2         57
       134        220          2         58
       373        239          2         59
       145        317          2         60
       323        209          2         61
       141        297          2         62
       268        212          2         63
       146        113          2         64
       269        112          2         65
       134        186          2         66
       344        153          2         67
       152        267          2         68
       357        310          2         69
       223        297          2         70
       265        261          2         71
       278        317          2         72
       184        309          2         73
       318        360          2         74
        24        172          2         75
       322        276          2         76
        45        157          2         77
       193        269          2         78
       260        339          2         79
       312        258          2         80
       124        199          2         81
       124        301          2         82
       124        181          2         83
       138        197          2         84
       296        161          2         85
       353        253          2         86
        62        173          2         87
       173        348          2         88
       363        228          2         89
       290        164          2         90
        60        373          2         91
       102        297          2         92
       399        283          2         93
       232        312          2         94
       320        178          2         95
       118        267          2         96
       108        280          2         97
        85        224          2         98
       120        336          2         99
       270        188          2        100
       369        180          2        101
       113        327          2        102
       120        251          2        103
       143        264          2        104
       280        234          2        105
        80        152          2        106
       111        183          2        107
       202        284          2        108
       170        305          2        109
        66        114          2        110
       345        245          2        111
       143        316          2        112
       258        330          2        113
       250        104          2        114
        60        324          2        115
       107        280          2        116
       169        282          2        117
       353        276          2        118
       107        257          2        119
       270        317          2        120
        43        166          2        121
       253        173          2        122
       179        234          2        123
       215        276          2        124
       190        344          2        125
       171        253          2        126
       251        379          2        127
       201        178          2        128
       181        329          2        129
       249        203          2        130
       124        278          2        131
       130        342          2        132
       185        377          2        133
       292        226          2        134
       230        220          2        135
       199        264          2        136
       249        227          2        137
       213        169          2        138
       142        261          2        139
       317         60          2        140
       290        328          2        141
       211        165          2        142
       137        317          2        143
       202        339          2        144
       257        311          2        145
       114        282          2        146
       179        245          2        147
       312        308          2        148
       364        176          2        149
       197        328          2        150
       137        240          2        151
       220        247          2        152
       182        132          2        153
       220        338          2        154
       137        350          2        155
        52        300          2        156
        81        402          2        157
       255        309          2        158
       270        382          2        159
       141        269          2        160
       296        315          2        161
       129        285          2        162
       353        402          2        163
       123        271          2        164
       193        394          2        165
       114        340          2        166
       164        347          2        167
        45        234          2        168
       230        287          2        169
       186        219          2        170
        47        340          2        171
       103        288          2        172
       232        311          2        173
       173        227          2        174
       159        356          2        175
       341        306          2        176
       303        252          2        177
       118        344          2        178
       321        270          2        179
       243        151          2        180
       280        270          2        181
       104        321          2        182
       112        264          2        183
       191        267          2        184
       288        351          2        185
       219        338          2        186
       272        359          2        187
       114        275          2        188
       326        247          2        189
       263        307          2        190
       255        193          2        191
       280        316          2        192
       115        144          2        193
       223        269          2        194
       223        201          2        195
       226        283          2        196
       309        277          2        197
       313        299          2        198
       159        328          2        199
